Distance(m),x(NI),x(CR),x(V),f(FCC_A1),f(BCC_A2),f(SIGMA)
0.0,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
4.016064257028113e-08,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
8.032128514056226e-08,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.2048192771084337e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.606425702811245e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
2.0080321285140565e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
2.4096385542168674e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
2.811244979919679e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
3.21285140562249e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
3.6144578313253016e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
4.016064257028113e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
4.417670682730924e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
4.819277108433735e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
5.220883534136546e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
5.622489959839358e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
6.024096385542169e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
6.42570281124498e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
6.827309236947792e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
7.228915662650603e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
7.630522088353415e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
8.032128514056226e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
8.433734939759036e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
8.835341365461848e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
9.236947791164659e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
9.63855421686747e-07,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.0040160642570282e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.0441767068273092e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.0843373493975905e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.1244979919678715e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.1646586345381528e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.2048192771084338e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.244979919678715e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.285140562248996e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.3253012048192771e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.3654618473895584e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.4056224899598394e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.4457831325301207e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.4859437751004017e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.526104417670683e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.566265060240964e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.6064257028112452e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
1.6465863453815263e-06,9.999999999177334e-07,0.999998,1e-06,0.0,0.9999999999927901,0.0
