Distance(m),x(NI),x(CR),f(FCC_A1),f(BCC_A2)
0.0,0.7999999999969463,0.2000000000030537,1.0,0.0
1.0020040080160322e-08,0.7999999999898834,0.20000000001011667,1.0,0.0
2.0040080160320644e-08,0.7999999999599146,0.20000000004008547,1.0,0.0
3.006012024048097e-08,0.7999999998407208,0.20000000015927916,1.0,0.0
4.008016032064129e-08,0.7999999993717033,0.20000000062829668,1.0,0.0
5.010020040080161e-08,0.79999999753689,0.20000000246310998,1.0,0.0
6.012024048096194e-08,0.7999999903951378,0.20000000960486214,1.0,0.0
7.014028056112226e-08,0.7999999627788916,0.20000003722110832,1.0,0.0
8.016032064128258e-08,0.7999998570936144,0.20000014290638557,1.0,0.0
9.01803607214429e-08,0.7999994586012457,0.20000054139875434,1.0,0.0
1.0020040080160321e-07,0.7999979759490702,0.2000020240509298,1.0,0.0
1.1022044088176355e-07,0.7999923705294287,0.2000076294705713,1.0,0.0
1.2024048096192388e-07,0.7999688424116382,0.20003115758836176,1.0,0.0
1.3026052104208418e-07,0.7998564023088589,0.20014359769114112,1.0,0.0
1.4028056112224452e-07,0.7994435675441632,0.20055643245583674,1.0,0.0
1.5030060120240482e-07,0.7993589889744236,0.20064101102557638,1.0,0.0
1.6032064128256515e-07,0.7992540932031755,0.2007459067968244,1.0,0.0
1.7034068136272549e-07,0.7992024041492609,0.20079759585073909,1.0,0.0
1.803607214428858e-07,0.7991372570609332,0.20086274293906684,1.0,0.0
1.9038076152304612e-07,0.799238071215182,0.200761928784818,1.0,0.0
2.0040080160320643e-07,0.7990988155634586,0.20090118443654142,1.0,0.0
2.1042084168336676e-07,0.7992148847912639,0.20078511520873615,1.0,0.0
2.204408817635271e-07,0.7991015815235026,0.2008984184764974,1.0,0.0
2.304609218436874e-07,0.7992601368120454,0.20073986318795453,1.0,0.0
2.4048096192384776e-07,0.7990782260602786,0.20092177393972147,1.0,0.0
2.5050100200400806e-07,0.7993033549112221,0.200696645088778,1.0,0.0
2.6052104208416837e-07,0.7986758160472944,0.20132418395270554,1.0,0.0
2.7054108216432867e-07,0.7996725546318711,0.20032744536812885,1.0,0.0
2.8056112224448903e-07,0.7986854833123612,0.20131451668763875,1.0,0.0
2.9058116232464934e-07,0.7997211310485557,0.2002788689514443,1.0,0.0
3.0060120240480964e-07,0.7989455352052484,0.2010544647947517,1.0,0.0
3.1062124248497e-07,0.7995430760087322,0.20045692399126777,1.0,0.0
3.206412825651303e-07,0.7988937838065733,0.20110621619342667,1.0,0.0
3.306613226452906e-07,0.7993368586094716,0.2006631413905284,1.0,0.0
3.4068136272545097e-07,0.7985592045798131,0.20144079542018695,1.0,0.0
3.507014028056113e-07,0.7987816206851773,0.20121837931482264,1.0,0.0
3.607214428857716e-07,0.7987499779878138,0.20125002201218628,1.0,0.0
3.7074148296593194e-07,0.7989236598331821,0.20107634016681789,1.0,0.0
3.8076152304609225e-07,0.7987303087203161,0.20126969127968386,1.0,0.0
3.9078156312625255e-07,0.7988898350118966,0.20111016498810344,1.0,0.0
4.0080160320641286e-07,0.7986963578128436,0.20130364218715638,1.0,0.0
4.108216432865732e-07,0.7988214615047746,0.20117853849522535,1.0,0.0
4.208416833667335e-07,0.7988816891092299,0.2011183108907701,1.0,0.0
4.3086172344689383e-07,0.7988321809638803,0.20116781903611963,1.0,0.0
4.408817635270542e-07,0.7987968072735215,0.2012031927264785,1.0,0.0
4.509018036072145e-07,0.7986760955753454,0.2013239044246547,1.0,0.0
4.609218436873748e-07,0.7983534434256695,0.20164655657433048,1.0,0.0
4.7094188376753515e-07,0.7982846939138795,0.2017153060861206,1.0,0.0
4.809619238476955e-07,0.7982100109174034,0.20178998908259657,1.0,0.0
4.909819639278558e-07,0.7981233118272392,0.2018766881727608,1.0,0.0
5.010020040080161e-07,0.7978415881429398,0.20215841185706016,1.0,0.0
5.110220440881764e-07,0.7984134294763258,0.20158657052367424,1.0,0.0
5.210420841683367e-07,0.7977450954610561,0.20225490453894387,1.0,0.0
5.31062124248497e-07,0.7982178573586683,0.20178214264133165,1.0,0.0
5.410821643286573e-07,0.7975775582435816,0.20242244175641838,1.0,0.0
5.511022044088178e-07,0.7981229725474299,0.20187702745257002,1.0,0.0
5.611222444889781e-07,0.7978017350824268,0.20219826491757317,1.0,0.0
5.711422845691384e-07,0.7978940707758659,0.202105929224134,1.0,0.0
5.811623246492987e-07,0.7974969306432498,0.20250306935675022,1.0,0.0
5.91182364729459e-07,0.7974048374143131,0.20259516258568686,1.0,0.0
6.012024048096193e-07,0.7984857204937261,0.20151427950627387,1.0,0.0
6.112224448897797e-07,0.7965480186520607,0.20345198134793926,1.0,0.0
6.2124248496994e-07,0.7983330138744145,0.20166698612558548,1.0,0.0
6.312625250501003e-07,0.7966178213449204,0.20338217865507963,1.0,0.0
6.412825651302606e-07,0.798239809766437,0.20176019023356298,1.0,0.0
6.513026052104209e-07,0.7963080392753036,0.20369196072469645,1.0,0.0
6.613226452905812e-07,0.7980196206737591,0.20198037932624088,1.0,0.0
6.713426853707415e-07,0.7962690391330691,0.20373096086693093,1.0,0.0
6.813627254509019e-07,0.798061565622852,0.20193843437714792,1.0,0.0
6.913827655310622e-07,0.7961417564448381,0.20385824355516188,1.0,0.0
7.014028056112226e-07,0.79737237813884,0.20262762186116007,1.0,0.0
7.114228456913829e-07,0.7960865390556013,0.20391346094439872,1.0,0.0
7.214428857715432e-07,0.7974954299350114,0.20250457006498856,1.0,0.0
7.314629258517035e-07,0.7960320612476945,0.20396793875230548,1.0,0.0
7.414829659318639e-07,0.7968255495235499,0.20317445047645014,1.0,0.0
7.515030060120242e-07,0.7967846805698946,0.2032153194301054,1.0,0.0
7.615230460921845e-07,0.7967114492635676,0.20328855073643234,1.0,0.0
7.715430861723448e-07,0.7966196207751857,0.2033803792248143,1.0,0.0
7.815631262525051e-07,0.7964309194872173,0.2035690805127827,1.0,0.0
7.915831663326654e-07,0.795926395039835,0.20407360496016505,1.0,0.0
8.016032064128257e-07,0.7954871277871716,0.20451287221282843,1.0,0.0
8.116232464929861e-07,0.7953513543644836,0.20464864563551644,1.0,0.0
8.216432865731464e-07,0.7953025434553939,0.20469745654460614,1.0,0.0
8.316633266533067e-07,0.7953716650367842,0.20462833496321572,1.0,0.0
8.41683366733467e-07,0.7953264665066141,0.2046735334933859,1.0,0.0
8.517034068136273e-07,0.79511478815566,0.20488521184434003,1.0,0.0
