Distance(m),x(NI),x(CR),x(V),f(FCC_A1),f(BCC_A2),f(SIGMA)
0.0,0.010684021887967243,0.031225226816019046,0.9580907512960137,0.0,0.9999999999999997,0.0
6.711409395973155e-08,0.00920319340022191,0.03380363718872508,0.9569931694110531,0.0,1.0,0.0
1.342281879194631e-07,0.009905475075409953,0.03809542365310044,0.9519991012714896,0.0,0.9999999999999998,0.0
2.0134228187919465e-07,0.009766574494388891,0.04423227816553767,0.9460011473400735,0.0,1.0,0.0
2.684563758389262e-07,0.009739705313575153,0.05204113279011603,0.9382191618963088,0.0,0.9999999999999999,0.0
3.3557046979865777e-07,0.009908474953991164,0.06099848044295084,0.929093044603058,0.0,0.9999999999999999,0.0
4.026845637583893e-07,0.008927739929516676,0.07109125533244708,0.9199810047380362,0.0,1.0,0.0
4.697986577181208e-07,0.009793081958133332,0.08120879529465594,0.9089981227472107,0.0,1.0,0.0
5.369127516778524e-07,0.008003005132445562,0.0929996708779772,0.8989973239895772,0.0,1.0,0.0
6.04026845637584e-07,0.009582419099901651,0.10441879602286495,0.8859987848772334,0.0,1.0,0.0
6.711409395973155e-07,0.008617567089946432,0.11638470258898018,0.8749977303210734,0.0,1.0000000000000004,0.0
7.38255033557047e-07,0.009308499679443694,0.12855411619760876,0.8621373841229475,0.0,1.0,0.0
8.053691275167786e-07,0.01027243837036873,0.14071288478829064,0.8490146768413406,0.0,0.9999999999999998,0.0
8.724832214765102e-07,0.008998861969055305,0.15300016474586625,0.8380009732850784,0.0,0.9999999999999998,0.0
9.395973154362416e-07,0.00988015976407175,0.16512019308683623,0.824999647149092,0.0,1.0,0.0
1.0067114093959733e-06,0.009363863700408093,0.17771608141242357,0.8129200548871683,0.0,1.0000000000000002,0.0
1.0738255033557048e-06,0.01004114400812206,0.18995685089143818,0.8000020051004397,0.0,1.0,0.0
1.1409395973154363e-06,0.010880225775069197,0.2019995986135005,0.7871201756114303,0.0,1.0000000000000004,0.0
1.208053691275168e-06,0.011397629268244724,0.21460176072773868,0.7740006100040167,0.0,0.9999999999999999,0.0
1.2751677852348994e-06,0.011100760799218956,0.22689899309617956,0.7620002461046015,0.0,1.0000000000000002,0.0
1.342281879194631e-06,0.011975614962828507,0.23900563408814085,0.7490187509490306,0.0,0.9999999999999998,0.0
1.4093959731543626e-06,0.01367822921854911,0.2513205652942977,0.7350012054871532,0.0,0.9999999999999998,0.0
1.476510067114094e-06,0.013385323097901747,0.26361447040343683,0.7230002064986615,0.0,1.0,0.0
1.5436241610738257e-06,0.013077152825415217,0.27614711385987567,0.7107757333147091,0.0,1.0,0.0
1.6107382550335572e-06,0.014988804115652954,0.28800009201016913,0.6970111038741779,0.0,0.9999999999999998,0.0
1.6778523489932886e-06,0.015847519909397922,0.3001527664374585,0.6839997136531436,0.0,1.0000000000000004,0.0
1.7449664429530203e-06,0.016341661845382882,0.31249883195774236,0.6711595061968747,0.0,0.9999999999999999,0.0
1.8120805369127518e-06,0.015888505798691277,0.32511179467507445,0.6589996995262343,0.0,1.0000000000000002,0.0
1.8791946308724833e-06,0.017325596327470327,0.33700002947380775,0.645674374198722,0.0,0.9999999999999996,0.0
1.9463087248322147e-06,0.018147805846401965,0.3490000378599861,0.6328521562936119,0.0,0.9999999999999998,0.0
2.0134228187919466e-06,0.01918740273216102,0.36099997900301,0.6198126182648289,0.0,1.0000000000000004,0.0
2.080536912751678e-06,0.019270266392499513,0.373729786483735,0.6069999471237655,0.0,1.0,0.0
2.1476510067114096e-06,0.02065513810418662,0.3853445088819472,0.5940003530138661,0.0,0.9999999999999998,0.0
2.214765100671141e-06,0.021418205562863557,0.39758152147159914,0.5810002729655372,0.0,0.9999999999999998,0.0
2.2818791946308725e-06,0.021482234541512102,0.40999999454321245,0.5685177709152754,0.0,0.9999999999999998,0.0
2.3489932885906044e-06,0.02226936291146142,0.422000085044313,0.5557305520442255,0.0,1.0,0.0
2.416107382550336e-06,0.022999383605486035,0.4340001784349245,0.5430004379595895,0.0,1.0000000000000002,0.0
2.4832214765100673e-06,0.023828338282799066,0.4461713838783758,0.5300002778388252,0.0,1.0000000000000004,0.0
2.550335570469799e-06,0.0248593369116461,0.4581406544503094,0.5170000086380445,0.0,1.0,0.0
2.6174496644295303e-06,0.025823528612846647,0.4701761768622392,0.5040002945249141,0.0,0.9999999999999999,0.0
2.684563758389262e-06,0.02695256351411013,0.482225996989669,0.49082143949622087,0.0,1.0000000000000007,0.0
2.7516778523489936e-06,0.026189896117871925,0.49481010460014596,0.4789999992819821,0.0,1.0000000000000004,0.0
2.818791946308725e-06,0.02733362256877392,0.5066662966393248,0.4660000807919013,0.0,0.9999999999999999,0.0
2.8859060402684566e-06,0.028290832553004686,0.5186795307909565,0.45302963665603874,0.0,0.9999999999999999,0.0
2.953020134228188e-06,0.028645853358139406,0.5309999767963685,0.44035416984549214,0.0,1.0000000000000009,0.0
3.0201342281879195e-06,0.029177742819899155,0.543039338792608,0.4277829183874929,0.0,0.9999999999999998,0.0
3.0872483221476514e-06,0.029844732532401053,0.5551552251679764,0.4150000422996225,0.0,1.0000000000000002,0.0
3.154362416107383e-06,0.03098934983297652,0.5670106179202676,0.40200003224675585,0.0,1.0000000000000002,0.0
3.2214765100671143e-06,0.03191335502825776,0.5790000564872727,0.3890865884844696,0.0,1.0000000000000002,0.0
3.288590604026846e-06,0.0326838064834688,0.5910337301449051,0.3762824633716261,0.0,0.9999999999999997,0.0
3.3557046979865773e-06,0.03246389944400563,0.6035361590762447,0.36399994147974973,0.0,1.0000000000000002,0.0
3.422818791946309e-06,0.03331812432967385,0.6156817530384369,0.3510001226318893,0.0,1.0,0.0
3.4899328859060407e-06,0.03499764769886671,0.6269999795236212,0.3380023727775121,0.0,1.0000000000000004,0.0
3.557046979865772e-06,0.034923200153125666,0.6397566023128753,0.325320197533999,0.0,0.9999999999999994,0.0
3.6241610738255036e-06,0.0350560099869216,0.6519440076829822,0.3129999823300962,0.0,1.0,0.0
3.691275167785235e-06,0.03620646841531672,0.6637935219106779,0.30000000967400536,0.0,1.0,0.0
3.7583892617449665e-06,0.038146532473188666,0.6751293691677444,0.286724098359067,0.0,0.9999999999999999,0.0
3.825503355704698e-06,0.038623155963680045,0.687294667636159,0.27408217640016097,0.0,0.9999999999999996,0.0
3.8926174496644295e-06,0.0398899303300424,0.6989966968631783,0.2611133728067793,0.0,1.0000000000000002,0.0
3.959731543624162e-06,0.04215598763888273,0.709999992830653,0.2478440195304643,0.0,1.0,0.0
4.026845637583893e-06,0.04307022032755059,0.721885523983888,0.23504425568856147,0.0,0.9999999999999998,0.0
4.093959731543625e-06,0.04519677277015255,0.733000036393781,0.2218031908360665,0.0,1.0000000000000002,0.0
4.161073825503356e-06,0.04590880472003034,0.7465972587130323,0.20749393656693738,0.0,1.0,0.0
4.228187919463088e-06,0.04519889367492036,0.7670411833415057,0.18775992298357397,0.0,1.0,0.0
4.295302013422819e-06,0.03947862923428658,0.8133017383507298,0.14721963241498362,0.0,0.9999999999999998,0.0
4.362416107382551e-06,0.028339217655039883,0.9165173250209121,0.05514345732404807,0.0,1.0,0.0
4.429530201342282e-06,0.03411285857404511,0.9170000370579071,0.04888710436804772,0.0,1.0,0.0
4.4966442953020135e-06,0.04556781346887484,0.9056700628360589,0.048762123695066266,0.01912508873507454,0.980874911267281,0.0
4.563758389261745e-06,0.048208354198262526,0.903782977734175,0.048008668067562446,0.023043637246197818,0.9769563627555679,0.0
4.6308724832214765e-06,0.049138024516954815,0.902866960514858,0.047995014968187186,0.02270585415525414,0.9772941458462524,0.0
4.697986577181209e-06,0.04970710997501293,0.9022837226743357,0.04800916735065144,0.02562026634729583,0.9743797336537194,0.0
4.76510067114094e-06,0.05007349032809494,0.901922550005107,0.04800395966679801,0.025806677366464553,0.9741933226352437,0.0
4.832214765100672e-06,0.05056666276968158,0.9014304759893617,0.04800286124095676,0.025806677366464553,0.9741933226352437,0.0
4.899328859060403e-06,0.05225323158379147,0.8997395269134969,0.04800724150271162,0.029769562059886644,0.9702304379412525,0.0
4.966442953020135e-06,0.056974805307967946,0.8950030336801482,0.048022161011883883,0.03707532962615064,0.9629246703748358,0.0
5.033557046979866e-06,0.06521160152308358,0.8869794457438237,0.0478089527330927,0.05366642257118402,0.9463335774304984,0.0
5.100671140939598e-06,0.07496740777334043,0.8770473831677865,0.04798520905887306,0.07162179971308445,0.9283782002880211,0.0
5.167785234899329e-06,0.08508501404932334,0.8679294171044591,0.04698556884621756,0.0907079068932884,0.9092920931075729,0.0
5.2348993288590606e-06,0.09516402797123458,0.8579854720240666,0.0468505000046988,0.10965301626708612,0.8903469837338781,0.0
