T(min),N(needle),T(min),N(sphere),,T(min),R(needle),T(min),R(sphere),,T(s),C(needle),T(s),C(sphere),,L(nm),PSD,L(nm),ARD
0.01115671,13911336836,0.008252419,13563985894,,0.01115671,0.301390976,0.008252419,0.267899985,,0.669402589,1.9,0.495145139,0.019,,13.58304724,624.0126048,13.58304724,4.82223505
0.01283283,1.45688E+12,0.009333405,7.89137E+11,,0.01283283,0.301413477,0.009333405,0.267937413,,0.769969778,1.9,0.560004288,0.019,,13.53091504,37151.76767,13.53091504,4.8100829
0.013227573,4.06959E+12,0.009620858,2.23685E+12,,0.013227573,0.30159425,0.009620858,0.268117091,,0.793654385,1.9,0.577251484,0.019,,13.46064504,8213823.993,13.46064504,4.793657308
0.013695587,1.27921E+13,0.009955978,7.02296E+12,,0.013695587,0.301661734,0.009955978,0.268186746,,0.821735234,1.9,0.597358659,0.019,,13.37127739,2033484608,13.37127739,4.77269168
0.014195066,4.00785E+13,0.010313451,2.20017E+13,,0.014195066,0.301700798,0.010313451,0.26822325,,0.851703972,1.9,0.618807056,0.019,,13.27584493,3.14027E+11,13.27584493,4.750208522
0.014731078,1.25583E+14,0.010696658,6.8942E+13,,0.014731078,0.3017288,0.010696658,0.268257648,,0.883864688,1.9,0.641799496,0.019,,13.17446369,3.78032E+13,13.17446369,4.726215666
0.015307617,3.93425E+14,0.011108375,2.16008E+14,,0.015307617,0.301761448,0.011108375,0.268285651,,0.918456999,1.9,0.666502471,0.019,,13.06607684,3.01474E+15,13.06607684,4.700440271
0.015929342,1.23225E+15,0.011551824,6.76636E+14,,0.015929342,0.301790707,0.011551824,0.268316016,,0.955760512,1.9,0.693109462,0.019,,12.95038714,1.91407E+17,12.95038714,4.672784538
0.01660164,3.85834E+15,0.012030727,2.1189E+15,,0.01660164,0.301833338,0.012030727,0.268359208,,0.996098389,1.9,0.721843604,0.019,,12.82532784,8.5424E+18,12.82532784,4.642720131
0.01733077,1.20781E+16,0.012549393,6.63388E+15,,0.01733077,0.301870448,0.012549393,0.268397264,,1.039846212,1.9,0.752963603,0.019,,12.69043468,3.09202E+20,12.69043468,4.610092409
0.018124048,3.77951E+16,0.01311285,2.07621E+16,,0.018124048,0.301926662,0.01311285,0.268450414,,1.087442872,1.9,0.786770999,0.019,,12.54146706,8.36566E+21,12.54146706,4.573816659
0.018990071,1.18239E+17,0.013726988,6.49622E+16,,0.018990071,0.301975464,0.013726988,0.268499521,,1.139404254,1.9,0.823619257,0.019,,12.3786873,1.85718E+23,12.3786873,4.533880344
0.01993901,3.69768E+17,0.014398754,2.03188E+17,,0.01993901,0.302031666,0.014398754,0.268555586,,1.196340577,1.899999999,0.863925235,0.019,,12.23383114,1.66059E+24,12.23383114,4.498076235
0.020982976,1.1559E+18,0.015136397,6.35291E+17,,0.020982976,0.302106114,0.015136397,0.268620927,,1.258978564,1.899999998,0.908183796,0.019,,12.10257033,1.03583E+25,12.10257033,4.465413429
0.022136501,3.61218E+18,0.015949776,1.9856E+18,,0.022136501,0.302179437,0.015949776,0.268692188,,1.32819007,1.899999993,0.956986574,0.019,,11.95884476,5.91761E+25,11.95884476,4.42940639
0.023417157,1.12835E+19,0.016850772,6.20352E+18,,0.023417157,0.302255561,0.016850772,0.268773805,,1.405029423,1.899999978,1.011046348,0.019,,11.79990283,3.10615E+26,11.79990283,4.389287392
0.024846379,3.52305E+19,0.017853817,1.93742E+19,,0.024846379,0.302348943,0.017853817,0.268850899,,1.490782716,1.89999993,1.071229032,0.019,,11.62209608,1.50204E+27,11.62209608,4.344026844
0.026450561,1.09952E+20,0.018934704,5.80952E+19,,0.026450561,0.302457338,0.018934704,0.268969492,,1.587033656,1.899999782,1.13608221,0.018999999,,11.42036537,6.70373E+27,11.42036537,4.292181057
0.028126266,3.16417E+20,0.020015573,1.5559E+20,,0.028126266,0.302585425,0.020015573,0.269135556,,1.687575942,1.899999372,1.200934369,0.018999998,,11.18744269,2.76488E+28,11.18744269,4.231648601
0.029801836,8.13268E+20,0.021096353,3.78587E+20,,0.029801836,0.302781862,0.021096353,0.269305574,,1.788110175,1.899998383,1.265781165,0.018999995,,10.98083916,7.32151E+28,10.98083916,4.17734026
0.031476786,1.9001E+21,0.02217693,8.48302E+20,,0.031476786,0.303002301,0.02217693,0.269510394,,1.888607181,1.899996213,1.330615818,0.018999988,,10.8298631,1.38534E+29,10.8298631,4.137279939
0.033151537,4.0941E+21,0.023257438,1.77063E+21,,0.033151537,0.303226898,0.023257438,0.269730013,,1.989092197,1.899991822,1.395446309,0.018999975,,10.66609769,2.62136E+29,10.66609769,4.09346144
0.034825114,8.22436E+21,0.024337531,3.47395E+21,,0.034825114,0.303484785,0.024337531,0.269964088,,2.089506838,1.89998353,1.460251843,0.018999951,,10.47950678,4.72729E+29,10.47950678,4.043064058
0.03649797,1.55543E+22,0.025417484,6.45772E+21,,0.03649797,0.303755346,0.025417484,0.270206906,,2.189878223,1.899968767,1.525049052,0.018999909,,10.26904613,8.49707E+29,10.26904613,3.985603568
0.038169238,2.7901E+22,0.026496785,1.14433E+22,,0.038169238,0.304047087,0.026496785,0.270469168,,2.290154276,1.899943813,1.589807111,0.018999839,,10.08687587,1.29276E+30,10.08687587,3.935327604
0.039839157,4.77848E+22,0.027575779,1.94425E+22,,0.039839157,0.304357957,0.027575779,0.270736253,,2.3903494,1.899903476,1.654546751,0.018999726,,9.958120214,1.69109E+30,9.958120214,3.899484999
0.04150689,7.85531E+22,0.028653878,3.18077E+22,,0.04150689,0.304673643,0.028653878,0.271024279,,2.490413373,1.899840831,1.719232682,0.01899955,,9.816727103,2.21161E+30,9.816727103,3.859825019
0.043172626,1.24523E+23,0.029731397,5.03232E+22,,0.043172626,0.305004155,0.029731397,0.271313902,,2.590357543,1.89974686,1.783883825,0.018999286,,9.660835356,2.86965E+30,9.660835356,3.815728731
0.044835398,1.91041E+23,0.030807805,7.72325E+22,,0.044835398,0.305361308,0.030807805,0.271620405,,2.69012389,1.899610269,1.848468289,0.0189989,,9.491724196,3.69044E+30,9.491724196,3.767446574
0.046495606,2.84708E+23,0.031883253,1.15347E+23,,0.046495606,0.305721297,0.031883253,0.271932228,,2.789736336,1.899417121,1.91299516,0.018998351,,9.307272082,4.67517E+30,9.307272082,3.714243529
0.048151929,4.13201E+23,0.032957338,1.68051E+23,,0.048151929,0.306094073,0.032957338,0.272254484,,2.889115737,1.89915095,1.977440282,0.018997589,,9.154840664,5.55741E+30,9.154840664,3.669841614
0.049804768,5.85557E+23,0.034030063,2.39385E+23,,0.049804768,0.306480198,0.034030063,0.272587738,,2.988286106,1.898792209,2.04180378,0.018996553,,9.039048883,6.25472E+30,9.039048883,3.635844554
0.051453236,8.11902E+23,0.035101305,3.34069E+23,,0.051453236,0.306881392,0.035101305,0.272932185,,3.087194187,1.898318716,2.106078279,0.018995171,,8.920448326,6.96396E+30,8.920448326,3.600779131
