Time(s),Ndens,,Time(s),R(m),,Time(s),FV
0.009166062,15336481526,,0.009166062,6.20811E-10,,0.009166062,1.53707E-17
0.012030868,2.01421E+14,,0.012030868,6.20812E-10,,0.012030868,2.01871E-13
0.012377274,4.98324E+14,,0.012377274,6.21051E-10,,0.012377274,5.00016E-13
0.012845039,1.57287E+15,,0.012845039,6.21142E-10,,0.012845039,1.57889E-12
0.01334446,4.92522E+15,,0.01334446,6.21191E-10,,0.01334446,4.94527E-12
0.013882906,1.54259E+16,,0.013882906,6.21228E-10,,0.013882906,1.54915E-11
0.014464859,4.83031E+16,,0.014464859,6.21264E-10,,0.014464859,4.85169E-11
0.015095671,1.51211E+17,,0.015095671,6.21303E-10,,0.015095671,1.51908E-10
0.01578159,4.73215E+17,,0.01578159,6.21346E-10,,0.01578159,4.75497E-10
0.016529947,1.48046E+18,,0.016529947,6.21395E-10,,0.016529947,1.48794E-09
0.017349408,4.63003E+18,,0.017349408,6.2145E-10,,0.017349408,4.65469E-09
0.018250279,1.4475E+19,,0.018250279,6.21513E-10,,0.018250279,1.45565E-08
0.019244906,4.52361E+19,,0.019244906,6.21586E-10,,0.019244906,4.55069E-08
0.020348203,1.41312E+20,,0.020348203,6.2167E-10,,0.020348203,1.42216E-07
0.021578333,4.41251E+20,,0.021578333,6.21771E-10,,0.021578333,4.44289E-07
0.022957635,1.37718E+21,,0.022957635,6.21891E-10,,0.022957635,1.38747E-06
0.024513885,4.29607E+21,,0.024513885,6.2204E-10,,0.024513885,4.33127E-06
0.026282076,1.33931E+22,,0.026282076,6.22215E-10,,0.026282076,1.35142E-05
0.028307074,4.17113E+22,,0.028307074,6.22462E-10,,0.028307074,4.21387E-05
0.030647978,1.29671E+23,,0.030647978,6.22796E-10,,0.030647978,0.000131211
0.032367812,2.68778E+23,,0.032367812,6.23523E-10,,0.032367812,0.000272923
0.033289786,3.84003E+23,,0.033289786,6.24187E-10,,0.033289786,0.000391172
0.034536554,6.01376E+23,,0.034536554,6.25174E-10,,0.034536554,0.000615514
0.035431682,8.11062E+23,,0.035431682,6.25969E-10,,0.035431682,0.0008333
0.036461721,1.11855E+24,,0.036461721,6.26993E-10,,0.036461721,0.00115487
0.037525425,1.52074E+24,,0.037525425,6.28208E-10,,0.037525425,0.001579255
0.038584217,2.01521E+24,,0.038584217,6.29591E-10,,0.038584217,0.002106614
0.039627783,2.59935E+24,,0.039627783,6.31155E-10,,0.039627783,0.002737553
0.040657396,3.27019E+24,,0.040657396,6.32908E-10,,0.040657396,0.003472839
0.04167891,4.0243E+24,,0.04167891,6.34859E-10,,0.04167891,0.004313308
0.042699963,4.85807E+24,,0.042699963,6.36999E-10,,0.042699963,0.005259797
0.043728898,5.76638E+24,,0.043728898,6.39371E-10,,0.043728898,0.006313221
0.044774436,6.74467E+24,,0.044774436,6.41966E-10,,0.044774436,0.007474558
0.045845651,7.78758E+24,,0.045845651,6.44792E-10,,0.045845651,0.008744788
0.046952076,8.88936E+24,,0.046952076,6.47854E-10,,0.046952076,0.010124921
0.048103894,1.00439E+25,,0.048103894,6.51161E-10,,0.048103894,0.011615977
